Title,Company,Salary,Location,Skills
Senior Data Engineer,Craft.co,27 000 - 33 000 plnNew,Warszawa,"Python, AWS, SQL"
ML on Edge Engineer,deepsense.ai,17 000 - 26 000 plnNew,Warszawa,"Computer Vision, C++, Python"
Game server developer (Python),Bang Bang Games,15 477 - 20 636 plnNew,Londyn,"Python, Node.js, TypeScript"
Principal Software Engineer,deepsense.ai,28 000 - 35 000 plnNew,Warszawa,"Python, Cloud Platforms, Kubernetes"
Software Engineer (Python/Kotlin/React) - GenAI Platform,OLX,17 000 - 21 000 plnNew,Poznań,"Python, React, AWS"
Senior Data Scientist,Yosh.AI,12 000 - 18 000 plnNew,Warszawa,"Data, NLP, Data Science"
"Senior Python Developer, Team Lead",Dealavo,23 000 - 26 000 plnNew,Warszawa,"Python, TCP/IP, Bazy Danych"
Backend and Infrastructure Engineer,Heal Security,9 829 - 17 693 plnNew,Los Angeles,"IaC, Terraform, Kubernetes"
Python developer,Solidstudio,24 000 pln4d ago,Kraków,"AWS, Python 3, Serverless SQS"
Senior Backend Engineer,DualEntry,35 000 - 50 000 pln4d ago,Warszawa,"PostgreSQL, Backend, GitHub"
Senior Software Engineer,Adverity,21 589 - 25 043 pln4d ago,Katowice,"Django, English, Python"
Python Developer,Onwelo Sp. z o.o.,11 000 - 16 000 pln4d ago,Kraków,"Python, Bazel"
Senior Platform Engineer,YourITeams,24 000 - 30 000 pln4d ago,Warszawa,"Docker, AWS, Python"
AI/ML Engineer,HOLO Vectors,15 000 - 18 000 pln4d ago,Fałkowo,"Machine Learning, Python, Analytical Thinking"
Fullstack Developer (React&Python),Idego,24 000 - 28 000 pln4d ago,Gdynia,"React, Python, Django"
Senior AI Software Engineer (Python),Sigmoidal,27 000 - 34 000 pln5d ago,Warszawa,"Python, AWS, Docker"
Senior AI/ML Engineer,KFC ventures,30 000 - 35 000 pln7d ago,Warszawa,"LLMs, Multi Agent LLMs, PyTorch"
Senior Python Developer,Dogtronic,14 400 - 22 800 pln8d ago,Lublin,"PostgreSQL, Python, MongoDB"
Fullstack Engineer (AI Marketplace Development),Experis Manpower Group,24 960 - 30 072 pln8d ago,Warszawa,"Python, Cloud Platforms, CI/CD"
